yeo_17_index,yeo_17_name,yeo_17_R,yeo_17_A,yeo_17_S,yeo_7_index,yeo_7_name,yeo_7_R,yeo_7_A,yeo_7_S
0,17networks_LH_TempPar_Temp_1,-54,-52,18,26,7networks_LH_Default_Temp_4,-54,-52,18
1,17networks_LH_TempPar_Temp_2,-54,-56,10,54,7networks_LH_SalVentAttn_Temp_1,-54,-56,10
2,17networks_LH_TempPar_Temp_3,-58,-36,6,27,7networks_LH_Default_Temp_5,-58,-36,6
3,17networks_LH_DefaultC_IPL,-40,-80,28,1,7networks_LH_Default_IPL_2,-40,-80,28
4,17networks_LH_DefaultC_PHC,-26,-32,-18,96,7networks_LH_Vis_PHC,-26,-32,-18
5,17networks_LH_DefaultC_RSC,-10,-56,12,21,7networks_LH_Default_RSC,-10,-56,12
6,17networks_LH_DefaultB_IPL_1,-58,-48,36,3,7networks_LH_Default_IPL_4,-58,-48,36
7,17networks_LH_DefaultB_IPL_2,-48,-62,26,2,7networks_LH_Default_IPL_3,-48,-62,26
8,17networks_LH_DefaultB_PFCd_1,-10,18,62,6,7networks_LH_Default_PFCd_1,-10,18,62
9,17networks_LH_DefaultB_PFCd_2,-6,48,40,9,7networks_LH_Default_PFCd_4,-6,48,40
10,17networks_LH_DefaultB_PFCl,-42,12,46,11,7networks_LH_Default_PFCl_1,-42,12,46
11,17networks_LH_DefaultB_PFCv_1,-48,32,-4,17,7networks_LH_Default_PFCv_1,-48,32,-4
12,17networks_LH_DefaultB_PFCv_2,-50,20,8,18,7networks_LH_Default_PFCv_2,-50,20,8
13,17networks_LH_DefaultB_PFCv_3,-34,20,-12,20,7networks_LH_Default_PFCv_4,-34,20,-12
14,17networks_LH_DefaultB_TempPole,-48,10,-30,22,7networks_LH_Default_TempPole,-48,10,-30
15,17networks_LH_DefaultB_Temp_1,-60,-34,-4,23,7networks_LH_Default_Temp_1,-60,-34,-4
16,17networks_LH_DefaultB_Temp_2,-54,-12,-8,24,7networks_LH_Default_Temp_2,-54,-12,-8
17,17networks_LH_DefaultB_Temp_3,-60,-14,-22,25,7networks_LH_Default_Temp_3,-60,-14,-22
18,17networks_LH_DefaultA_IPL_1,-40,-72,42,0,7networks_LH_Default_IPL_1,-40,-72,42
19,17networks_LH_DefaultA_PCC,-4,-52,28,4,7networks_LH_Default_PCC_1,-4,-52,28
20,17networks_LH_DefaultA_PFCd_1,-26,20,52,7,7networks_LH_Default_PFCd_2,-26,20,52
21,17networks_LH_DefaultA_PFCd_2,-20,40,42,8,7networks_LH_Default_PFCd_3,-20,40,42
22,17networks_LH_DefaultA_PFCd_3,-18,64,16,10,7networks_LH_Default_PFCd_5,-18,64,16
23,17networks_LH_DefaultA_PFCm_1,-6,54,16,13,7networks_LH_Default_PFCm_1,-6,54,16
24,17networks_LH_DefaultA_PFCm_2,-6,40,12,14,7networks_LH_Default_PFCm_2,-6,40,12
25,17networks_LH_DefaultA_PFCm_3,-6,56,-6,15,7networks_LH_Default_PFCm_3,-6,56,-6
26,17networks_LH_DefaultA_PFCm_4,-6,34,-10,16,7networks_LH_Default_PFCm_4,-6,34,-10
27,17networks_LH_DefaultA_pCun,-6,-52,40,28,7networks_LH_Default_pCun_1,-6,-52,40
28,17networks_LH_ContC_PCC,-4,-26,34,5,7networks_LH_Default_PCC_2,-4,-26,34
29,17networks_LH_ContC_pCun_1,-6,-72,48,39,7networks_LH_Cont_pCun_1,-6,-72,48
30,17networks_LH_ContC_pCun_2,-10,-68,30,29,7networks_LH_Default_pCun_2,-10,-68,30
31,17networks_LH_ContB_FPole,-30,56,6,30,7networks_LH_Cont_FPole,-30,56,6
32,17networks_LH_ContB_IPL_1,-48,-56,48,32,7networks_LH_Cont_IPL_1,-48,-56,48
33,17networks_LH_ContB_PFCv,-38,46,-12,19,7networks_LH_Default_PFCv_3,-38,46,-12
34,17networks_LH_ContB_Temp,-60,-46,-12,38,7networks_LH_Cont_Temp,-60,-46,-12
35,17networks_LH_ContA_IPS_1,-32,-56,42,34,7networks_LH_Cont_IPS_2,-32,-56,42
36,17networks_LH_ContA_IPS_2,-48,-42,50,33,7networks_LH_Cont_IPS_1,-48,-42,50
37,17networks_LH_ContA_PFCd,-22,4,60,56,7networks_LH_DorsAttn_PFCd,-22,4,60
38,17networks_LH_ContA_PFCl_1,-44,22,26,36,7networks_LH_Cont_PFCl_2,-44,22,26
39,17networks_LH_ContA_PFCl_2,-42,42,12,37,7networks_LH_Cont_PFCl_3,-42,42,12
40,17networks_LH_ContA_PrCv_1,-46,4,34,61,7networks_LH_DorsAttn_PrCv,-46,4,34
41,17networks_LH_ContA_PrCv_2,-50,8,16,51,7networks_LH_SalVentAttn_PrCv,-50,8,16
42,17networks_LH_LimbicA_Temp,-42,-16,-32,43,7networks_LH_Limbic_Temp,-42,-16,-32
43,17networks_LH_LimbicA_TempPole,-28,2,-38,44,7networks_LH_Limbic_TempPole,-28,2,-38
44,17networks_LH_LimbicB_FPole,-16,62,-12,40,7networks_LH_Limbic_FPole,-16,62,-12
45,17networks_LH_LimbicB_OFC_1,-8,32,-22,41,7networks_LH_Limbic_OFC_1,-8,32,-22
46,17networks_LH_LimbicB_OFC_2,-22,26,-20,42,7networks_LH_Limbic_OFC_2,-22,26,-20
47,17networks_LH_SalVentAttnB_FrMed_1,-4,26,42,31,7networks_LH_Cont_FrMed,-4,26,42
48,17networks_LH_SalVentAttnB_FrMed_2,-4,12,30,47,7networks_LH_SalVentAttn_FrMed_3,-4,12,30
49,17networks_LH_SalVentAttnB_PFCl_1,-36,36,34,35,7networks_LH_Cont_PFCl_1,-36,36,34
50,17networks_LH_SalVentAttnB_PFCl_2,-26,50,24,12,7networks_LH_Default_PFCl_2,-26,50,24
51,17networks_LH_SalVentAttnA_FrMed_1,-6,-4,64,45,7networks_LH_SalVentAttn_FrMed_1,-6,-4,64
52,17networks_LH_SalVentAttnA_FrMed_2,-8,8,42,46,7networks_LH_SalVentAttn_FrMed_2,-8,8,42
53,17networks_LH_SalVentAttnA_IPL,-60,-28,30,48,7networks_LH_SalVentAttn_IPL,-60,-28,30
54,17networks_LH_SalVentAttnA_Ins_1,-34,14,6,49,7networks_LH_SalVentAttn_Ins_1,-34,14,6
55,17networks_LH_SalVentAttnA_Ins_2,-40,4,-12,50,7networks_LH_SalVentAttn_Ins_2,-40,4,-12
56,17networks_LH_SalVentAttnA_SPL,-12,-36,44,52,7networks_LH_SalVentAttn_SPL,-12,-36,44
57,17networks_LH_DorsAttnB_PostC_1,-38,-36,44,57,7networks_LH_DorsAttn_PostC_1,-38,-36,44
58,17networks_LH_DorsAttnB_PostC_2,-52,-26,40,58,7networks_LH_DorsAttn_PostC_2,-52,-26,40
59,17networks_LH_DorsAttnB_PrCd_1,-26,-12,58,59,7networks_LH_DorsAttn_PrCd_1,-26,-12,58
60,17networks_LH_DorsAttnB_PrCd_2,-38,-4,52,60,7networks_LH_DorsAttn_PrCd_2,-38,-4,52
61,17networks_LH_DorsAttnB_SPL_1,-18,-50,68,62,7networks_LH_DorsAttn_SPL_1,-18,-50,68
62,17networks_LH_DorsAttnB_SPL_2,-6,-54,58,63,7networks_LH_DorsAttn_SPL_2,-6,-54,58
63,17networks_LH_DorsAttnA_IPS,-28,-72,36,55,7networks_LH_DorsAttn_IPS_1,-28,-72,36
64,17networks_LH_DorsAttnA_SPL_1,-32,-56,56,64,7networks_LH_DorsAttn_SPL_3,-32,-56,56
65,17networks_LH_DorsAttnA_SPL_2,-18,-72,52,65,7networks_LH_DorsAttn_SPL_4,-18,-72,52
66,17networks_LH_DorsAttnA_TempOcc_1,-46,-72,10,99,7networks_LH_Vis_TempOcc,-46,-72,10
67,17networks_LH_DorsAttnA_TempOcc_2,-44,-62,-12,67,7networks_LH_DorsAttn_TempOcc_2,-44,-62,-12
68,17networks_LH_DorsAttnA_TempOcc_3,-48,-44,-22,68,7networks_LH_DorsAttn_TempOcc_3,-48,-44,-22
69,17networks_LH_DorsAttnA_TempOcc_4,-54,-64,0,66,7networks_LH_DorsAttn_TempOcc_1,-54,-64,0
70,17networks_LH_SomMotB_1,-52,-6,42,71,7networks_LH_SomMot_11,-52,-6,42
71,17networks_LH_SomMotB_2,-54,-12,38,72,7networks_LH_SomMot_12,-54,-12,38
72,17networks_LH_SomMotB_3,-60,-6,24,73,7networks_LH_SomMot_13,-60,-6,24
73,17networks_LH_SomMotB_4,-54,-6,10,74,7networks_LH_SomMot_14,-54,-6,10
74,17networks_LH_SomMotB_Ins_1,-42,-28,18,83,7networks_LH_SomMot_Ins_1,-42,-28,18
75,17networks_LH_SomMotB_Ins_2,-38,-8,14,84,7networks_LH_SomMot_Ins_2,-38,-8,14
76,17networks_LH_SomMotB_Ins_3,-46,-10,-2,85,7networks_LH_SomMot_Ins_3,-46,-10,-2
77,17networks_LH_SomMotB_ST_1,-54,-24,8,86,7networks_LH_SomMot_ST,-54,-24,8
78,17networks_LH_SomMotB_ST_2,-56,-42,22,53,7networks_LH_SalVentAttn_ST,-56,-42,22
79,17networks_LH_SomMotA_1,-16,-10,70,69,7networks_LH_SomMot_1,-16,-10,70
80,17networks_LH_SomMotA_10,-50,-22,54,70,7networks_LH_SomMot_10,-50,-22,54
81,17networks_LH_SomMotA_2,-16,-24,70,75,7networks_LH_SomMot_2,-16,-24,70
82,17networks_LH_SomMotA_3,-4,-32,64,76,7networks_LH_SomMot_3,-4,-32,64
83,17networks_LH_SomMotA_4,-20,-32,70,77,7networks_LH_SomMot_4,-20,-32,70
84,17networks_LH_SomMotA_5,-8,-14,46,78,7networks_LH_SomMot_5,-8,-14,46
85,17networks_LH_SomMotA_6,-36,-20,64,79,7networks_LH_SomMot_6,-36,-20,64
86,17networks_LH_SomMotA_7,-38,-28,62,80,7networks_LH_SomMot_7,-38,-28,62
87,17networks_LH_SomMotA_8,-32,-42,62,81,7networks_LH_SomMot_8,-32,-42,62
88,17networks_LH_SomMotA_9,-40,-14,48,82,7networks_LH_SomMot_9,-40,-14,48
89,17networks_LH_VisPeri_ExStrInf_1,-16,-52,2,87,7networks_LH_Vis_ExStrInf_1,-16,-52,2
90,17networks_LH_VisPeri_ExStrInf_2,-14,-64,-6,88,7networks_LH_Vis_ExStrInf_2,-14,-64,-6
91,17networks_LH_VisPeri_ExStrSup,-8,-76,26,89,7networks_LH_Vis_ExStrSup,-8,-76,26
92,17networks_LH_VisPeri_Striate,-10,-72,8,97,7networks_LH_Vis_Striate_1,-10,-72,8
93,17networks_LH_VisCent_ExStr_1,-14,-90,24,90,7networks_LH_Vis_ExStr_1,-14,-90,24
94,17networks_LH_VisCent_ExStr_2,-34,-86,14,91,7networks_LH_Vis_ExStr_2,-34,-86,14
95,17networks_LH_VisCent_ExStr_3,-22,-98,-4,92,7networks_LH_Vis_ExStr_3,-22,-98,-4
96,17networks_LH_VisCent_ExStr_4,-22,-80,-14,93,7networks_LH_Vis_ExStr_4,-22,-80,-14
97,17networks_LH_VisCent_ExStr_5,-44,-80,-6,94,7networks_LH_Vis_ExStr_5,-44,-80,-6
98,17networks_LH_VisCent_ExStr_6,-30,-50,-16,95,7networks_LH_Vis_ExStr_6,-30,-50,-16
99,17networks_LH_VisCent_Striate,-4,-92,-4,98,7networks_LH_Vis_Striate_2,-4,-92,-4
100,17networks_RH_TempPar_Temp_1,56,-42,18,126,7networks_RH_SalVentAttn_Temp_2,56,-42,18
101,17networks_RH_TempPar_Temp_2,58,-50,10,154,7networks_RH_SalVentAttn_Temp_1,58,-50,10
